30,0.765664,0.764896,0.765344,0.930528,0.765952,0.765216,0.76544,0.765568,0.765952,0.765312,0.76544,0.76576,0.765216,0.765952,1.23414,0.765504,0.765376,0.765792,0.765536,0.765568,0.939424,0.764928,0.765504,0.764672,0.765952,0.76592,0.764512,0.765632,0.765952,0.76528,0.765248,1.19459,0.768,0.767808,0.766112,0.950176,0.764576,0.765376,0.765952,0.765952,0.764928,0.765952,0.765408,0.765376,0.976704,0.765856,1.37622,0.765952,0.765952,0.765792,0.765312,1.11626,0.765952,0.765504,0.76544,0.764832,0.765952,0.764896,0.765536,0.989376,
50,1.02963,1.03261,0.765856,0.765952,0.765408,0.970592,0.764608,0.76608,0.765824,0.990816,0.765984,0.76608,0.7648,1.01571,1.2472,0.764864,0.759584,0.759648,0.75952,0.759808,1.10448,0.765952,0.765952,0.764608,0.765824,0.764896,0.7648,0.764896,1.13606,0.765952,0.767872,0.766208,0.765952,0.765952,0.765664,0.91072,0.764832,0.766272,0.7656,0.765952,0.764928,0.764864,0.765824,1.02266,0.765824,1.37142,0.765952,0.766144,0.765952,0.765952,0.978656,0.766144,0.76544,0.765984,0.765888,0.765888,0.765568,1.07443,0.977312,1.17747,
100,0.763904,0.765952,0.766304,0.765152,0.765984,0.91136,0.766048,0.765952,0.765952,0.765952,0.765888,0.765952,0.765952,1.08486,0.765952,0.993312,0.7648,0.766016,0.765952,0.765952,0.765952,0.911392,0.765408,0.765952,0.765888,0.765952,0.765952,0.934816,0.765952,0.768448,0.764928,0.764768,0.765888,0.76576,0.985088,0.76512,0.765344,0.765824,0.765952,0.765952,0.765888,0.766048,1.08154,0.765952,1.3991,0.766048,0.76592,0.766336,0.765952,0.765952,0.953568,0.764288,0.766176,0.759808,1.00643,0.759808,0.758688,0.928288,0.759808,2.16467,
150,0.761792,0.759808,0.760864,0.93408,0.760352,0.759808,0.759808,0.760832,0.759808,0.759872,0.759968,1.10528,0.759808,1.36397,0.758112,0.759808,0.759808,0.759808,0.76032,0.907168,0.762304,0.759808,0.75952,0.758784,0.759808,0.75968,0.759808,0.759968,0.762432,0.757568,0.759808,0.759808,0.761536,0.759808,0.759808,0.756736,0.759968,0.759872,0.760832,1.53984,0.76112,1.05578,0.9728,0.761856,0.759808,0.759872,0.757824,0.759904,0.75984,0.75968,0.760448,1.2176,0.75936,0.767808,0.767808,1.06099,0.760032,0.759872,0.75776,0.759808,
150,0.757568,0.761856,0.760832,0.763744,0.761632,0.75984,0.7576,0.761056,0.923072,0.593888,0.59248,0.59392,0.59392,0.593664,0.593696,0.59392,0.59328,0.804928,0.595232,0.593888,0.593856,0.593888,0.59392,0.594048,0.765952,0.593888,0.59376,0.593824,0.59392,0.593696,0.59392,0.85632,0.59392,0.92176,0.595552,0.59392,0.59392,0.593728,0.59408,0.594368,0.59392,0.593696,0.593728,0.5944,0.592,0.862208,0.722304,0.592736,0.593536,1.86768,0.594304,0.593504,0.59392,0.59392,0.59376,0.593056,0.59392,0.827008,0.59392,0.707872,
200,0.593248,0.595872,0.593984,0.5928,0.59392,0.59536,0.594272,0.594944,0.594336,0.594496,0.594208,0.5952,0.59392,0.59392,0.597056,0.59328,0.751616,0.595168,0.59536,0.59504,0.59248,0.59392,0.730784,0.843168,0.59392,0.595168,0.595232,0.59392,0.59392,0.597952,0.59392,0.593184,0.593376,0.592032,0.591744,0.755712,0.592288,0.591872,0.589824,0.814272,0.741216,0.592288,0.590688,0.591872,0.590112,0.591872,0.591968,0.591872,0.766048,0.592576,0.962336,0.59312,0.591776,0.59024,0.591936,0.591872,0.591872,0.59392,0.591872,0.590208,
300,0.594624,0.59568,0.59392,0.775904,0.5944,0.59392,0.817152,0.59392,0.59424,0.708864,0.59392,0.594144,0.595168,0.594272,0.591872,0.594112,0.59392,0.594304,0.592672,0.712384,0.59392,0.936512,0.597152,0.594304,0.59392,0.594112,0.593984,0.896384,0.594048,0.591904,0.59392,0.59424,0.59424,0.594976,0.593984,0.59392,0.711744,0.892288,0.908832,0.595968,0.59456,0.59392,0.593952,0.744768,0.59392,0.59392,0.594944,0.59392,0.592064,0.59408,0.594272,0.59408,0.59408,0.595968,0.598592,0.59424,0.593344,0.59392,0.594176,0.594176,
400,0.595968,0.598016,0.595968,0.596704,0.826208,0.598016,0.763552,0.596224,0.59824,0.5976,0.59664,0.59648,0.59792,0.596288,0.59776,0.595968,0.5976,0.596672,0.598016,0.598016,0.595968,0.86528,0.59792,0.82944,0.59856,0.598016,0.598016,0.596608,0.596,0.598016,0.597152,0.597408,0.597888,0.596256,0.597824,0.597248,0.598016,0.82144,0.743424,0.597696,0.933888,0.60416,0.598016,0.59696,0.597504,0.597984,0.597568,0.598368,0.598048,0.598016,0.596128,0.597344,0.597472,0.597504,0.596832,0.600096,0.91296,0.597472,0.59824,0.598016,
500,0.601536,0.823296,0.740064,0.601632,0.608608,0.598784,0.600064,0.60016,0.601536,0.598688,0.60064,0.605024,0.600768,0.601536,0.944096,0.608,0.600544,0.601376,0.847872,0.601856,1.0569,0.61008,0.599424,0.601312,0.602048,0.598816,0.604512,0.600992,0.8592,0.601568,0.60064,0.600064,0.601984,0.75136,0.601152,0.978944,0.60032,0.599904,0.601952,0.600064,0.600064,0.601152,0.605376,0.601536,0.599392,0.60032,0.601696,0.600256,0.601536,0.872448,0.601664,0.92912,0.60064,0.601344,0.600192,0.59872,0.600384,0.600928,0.743424,0.600736,
600,0.606272,0.60656,0.606208,0.604384,0.604576,0.606208,0.605952,0.75776,0.606272,0.90624,0.613312,0.606688,0.60512,0.605952,0.606144,0.613216,0.60416,0.607296,0.605984,0.60416,0.606208,0.60416,0.606208,0.605824,0.615744,0.968384,0.606432,0.606464,0.612352,0.606528,0.616032,0.606464,0.604704,0.605056,0.606016,0.605888,0.604992,0.606016,0.722944,0.606208,0.8272,0.606208,0.606208,0.882688,0.606208,0.60656,0.762208,0.60656,0.606208,0.604384,0.606144,0.606208,0.604544,0.606208,0.606208,0.76384,0.606208,0.989184,0.606144,0.606208,
